ID,Parking,Apartment_renovation,Windows,Quantity_of_rooms,Distance_min,Area_sm,Cost_per_month,Is_included_utility_charges,Lease_term,Elevator_total,With_children,With_pets,WashingRoom_total,Loggia_and_Balcony
271271157,подземная,Дизайнерский,,4,9.0,200.0,500000.0,1,Срок аренды - Длительный,5.0,1.0,1.0,,
271634126,подземная,Дизайнерский,На улицу и двор,4,8.0,198.0,500000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,3.0,
271173086,подземная,Евроремонт,На улицу и двор,4,7.0,200.0,500000.0,0,,1.0,1.0,0.0,3.0,
272197456,подземная,Евроремонт,На улицу и двор,4,3.0,170.0,400000.0,0,,1.0,0.0,1.0,3.0,
273614615,,Евроремонт,На улицу и двор,2,7.0,58.0,225000.0,1,Срок аренды - Длительный,2.0,,,2.0,
274837728,,Дизайнерский,,3,5.0,92.0,470000.0,0,,,,,,
273643908,наземная,Евроремонт,На улицу и двор,5,4.0,213.0,350000.0,0,,1.0,1.0,1.0,2.0,
274475342,подземная,Евроремонт,Во двор,3,3.0,98.0,250000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,2.0,
273973191,открытая,Евроремонт,На улицу,3,9.0,120.0,130000.0,1,Срок аренды - Длительный,1.0,0.0,1.0,1.0,
272900409,открытая,Евроремонт,На улицу и двор,4,10.0,90.0,210000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,2.0,1.0
271036964,подземная,Евроремонт,На улицу и двор,4,5.0,170.0,290000.0,0,,1.0,1.0,0.0,3.0,
273999490,,Евроремонт,На улицу и двор,3,2.0,80.0,100000.0,1,Срок аренды - Длительный,1.0,,,1.0,3.0
274017037,,Дизайнерский,Во двор,3,8.0,100.0,200000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,2.0,
273231024,,Дизайнерский,На улицу,5,9.0,180.0,500000.0,1,Срок аренды - Длительный,3.0,1.0,1.0,3.0,1.0
274839211,подземная,Евроремонт,,5,5.0,222.2,450000.0,0,,1.0,,,2.0,1.0
274767901,,Дизайнерский,,5,6.0,225.0,450000.0,1,Срок аренды - Длительный,4.0,,,,
274995950,,Евроремонт,На улицу,2,10.0,30.0,120000.0,1,Срок аренды - Длительный,,1.0,1.0,1.0,
274945807,,Дизайнерский,,5,5.0,222.0,450000.0,0,,,1.0,1.0,,1.0
272911145,наземная,Евроремонт,,5,12.0,150.0,180000.0,0,,1.0,,,2.0,1.0
274748017,,Евроремонт,На улицу и двор,5,6.0,201.0,190000.0,0,,1.0,1.0,1.0,3.0,
273941734,,Евроремонт,На улицу,2,9.0,64.0,205000.0,1,Срок аренды - Длительный,,1.0,1.0,2.0,
274493570,подземная,Евроремонт,На улицу и двор,3,5.0,112.0,230000.0,0,,1.0,1.0,0.0,2.0,1.0
274849101,,Дизайнерский,,4,5.0,190.0,590000.0,0,,,,,,
223918678,,Евроремонт,Во двор,5,8.0,255.6,850000.0,1,Срок аренды - Длительный,,1.0,1.0,3.0,
274391259,открытая,Евроремонт,На улицу и двор,5,5.0,186.0,190000.0,1,Срок аренды - Длительный,,1.0,1.0,2.0,
272945376,наземная,Евроремонт,На улицу и двор,3,5.0,100.0,200000.0,0,,1.0,1.0,1.0,2.0,
272612966,,Евроремонт,Во двор,5,11.0,150.0,200000.0,0,,1.0,,,2.0,1.0
271568490,,Дизайнерский,На улицу,5,7.0,140.0,300000.0,0,,1.0,1.0,0.0,,
