ID,Apartment_renovation,Windows,Quantity_of_rooms,Distance_min,Area_sm,Cost_per_month,Is_included_utility_charges,Lease_term,Elevator_total,With_children,With_pets,WashingRoom_total,Loggia_and_Balcony,Price_per_square_meter
271271157,Дизайнерский,Нет информации,4.0,9.0,200.0,500000.0,1,Срок аренды - Длительный,5.0,1.0,1.0,3.0,4.0,2500.0
271634126,Дизайнерский,На улицу и двор,4.0,8.0,198.0,500000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,3.0,4.0,2525.25
271173086,Евроремонт,На улицу и двор,4.0,7.0,200.0,500000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,0.0,3.0,4.0,2500.0
272197456,Евроремонт,На улицу и двор,4.0,3.0,170.0,400000.0,0,Срок аренды - На несколько месяцев,1.0,0.0,1.0,3.0,4.0,2352.94
273614615,Евроремонт,На улицу и двор,2.0,7.0,58.0,225000.0,1,Срок аренды - Длительный,2.0,0.0,0.0,2.0,1.0,3879.31
274837728,Дизайнерский,Нет информации,3.0,5.0,92.0,470000.0,0,Срок аренды - На несколько месяцев,2.0,0.0,0.0,2.0,3.0,5108.7
273643908,Евроремонт,На улицу и двор,5.0,4.0,213.0,350000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,1.0,2.0,8.0,1643.19
274475342,Евроремонт,Во двор,3.0,3.0,98.0,250000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,2.0,3.0,2551.02
273973191,Евроремонт,На улицу,3.0,9.0,120.0,130000.0,1,Срок аренды - Длительный,1.0,0.0,1.0,1.0,3.0,1083.33
272900409,Евроремонт,На улицу и двор,4.0,10.0,90.0,210000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,2.0,1.0,2333.33
271036964,Евроремонт,На улицу и двор,4.0,5.0,170.0,290000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,0.0,3.0,4.0,1705.88
273999490,Евроремонт,На улицу и двор,3.0,2.0,80.0,100000.0,1,Срок аренды - Длительный,1.0,0.0,0.0,1.0,3.0,1250.0
274017037,Дизайнерский,Во двор,3.0,8.0,100.0,200000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,2.0,3.0,2000.0
273231024,Дизайнерский,На улицу,5.0,9.0,180.0,500000.0,1,Срок аренды - Длительный,3.0,1.0,1.0,3.0,1.0,2777.78
274839211,Евроремонт,Нет информации,5.0,5.0,222.2,450000.0,0,Срок аренды - На несколько месяцев,1.0,0.0,0.0,2.0,1.0,2025.2
274767901,Дизайнерский,Нет информации,5.0,6.0,225.0,450000.0,1,Срок аренды - Длительный,4.0,0.0,0.0,4.0,8.0,2000.0
274995950,Евроремонт,На улицу,2.0,10.0,30.0,120000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,1.0,4000.0
274945807,Дизайнерский,Нет информации,5.0,5.0,222.0,450000.0,0,Срок аренды - На несколько месяцев,2.0,1.0,1.0,4.0,1.0,2027.03
272911145,Евроремонт,Нет информации,5.0,12.0,150.0,180000.0,0,Срок аренды - На несколько месяцев,1.0,0.0,0.0,2.0,1.0,1200.0
274748017,Евроремонт,На улицу и двор,5.0,6.0,201.0,190000.0,0,Срок аренды - Длительный,1.0,1.0,1.0,3.0,8.0,945.27
273941734,Евроремонт,На улицу,2.0,9.0,64.0,205000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,2.0,1.0,3203.12
274493570,Евроремонт,На улицу и двор,3.0,5.0,112.0,230000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,0.0,2.0,1.0,2053.57
274849101,Дизайнерский,Нет информации,4.0,5.0,190.0,590000.0,0,Срок аренды - На несколько месяцев,2.0,0.0,0.0,3.0,4.0,3105.26
223918678,Евроремонт,Во двор,5.0,8.0,255.6,850000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,3.0,8.0,3325.51
274391259,Евроремонт,На улицу и двор,5.0,5.0,186.0,190000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,2.0,8.0,1021.51
272945376,Евроремонт,На улицу и двор,3.0,5.0,100.0,200000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,1.0,2.0,3.0,2000.0
272612966,Евроремонт,Во двор,5.0,11.0,150.0,200000.0,0,Срок аренды - На несколько месяцев,1.0,0.0,0.0,2.0,1.0,1333.33
271568490,Дизайнерский,На улицу,5.0,7.0,140.0,300000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,0.0,4.0,8.0,2142.86
264664760,Евроремонт,Нет информации,3.0,15.0,132.8,400000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,2.0,3.0,3012.05
228923308,Дизайнерский,На улицу и двор,5.0,10.0,256.0,750000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,4.0,8.0,2929.69
267489303,Косметический,На улицу и двор,6.0,5.0,380.0,870000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,3.0,5.0,2289.47
273353104,Дизайнерский,Нет информации,3.0,7.0,112.0,350000.0,0,Срок аренды - На несколько месяцев,2.0,0.0,0.0,2.0,3.0,3125.0
273353103,Дизайнерский,Нет информации,2.0,7.0,91.0,400000.0,0,Срок аренды - На несколько месяцев,2.0,0.0,0.0,2.0,1.0,4395.6
268321690,Дизайнерский,На улицу и двор,3.0,11.0,135.0,400000.0,1,Срок аренды - Длительный,3.0,1.0,1.0,2.0,3.0,2962.96
269496185,Дизайнерский,На улицу и двор,4.0,3.0,190.0,590000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,2.0,4.0,3105.26
272188531,Дизайнерский,Нет информации,2.0,15.0,44.0,135000.0,0,Срок аренды - На несколько месяцев,2.0,0.0,0.0,1.0,1.0,3068.18
272727784,Евроремонт,Нет информации,3.0,9.0,85.0,150000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,1.0,1764.71
267110043,Дизайнерский,На улицу,2.0,7.0,100.0,320000.0,0,Срок аренды - На несколько месяцев,2.0,1.0,0.0,2.0,1.0,3200.0
265323319,Дизайнерский,Нет информации,3.0,7.0,133.3,400000.0,0,Срок аренды - На несколько месяцев,2.0,1.0,0.0,2.0,3.0,3000.75
265804792,Дизайнерский,На улицу и двор,4.0,7.0,210.0,400000.0,0,Срок аренды - На несколько месяцев,2.0,0.0,1.0,3.0,1.0,1904.76
239000408,Дизайнерский,Нет информации,4.0,9.0,180.0,450000.0,0,Срок аренды - На несколько месяцев,2.0,1.0,1.0,2.0,4.0,2500.0
271209314,Дизайнерский,Нет информации,4.0,5.0,165.0,470000.0,0,Срок аренды - На несколько месяцев,2.0,0.0,1.0,2.0,4.0,2848.48
269889430,Дизайнерский,Нет информации,4.0,6.0,190.0,590000.0,0,Срок аренды - На несколько месяцев,2.0,0.0,1.0,2.0,4.0,3105.26
241704098,Дизайнерский,Нет информации,4.0,5.0,168.0,600000.0,0,Срок аренды - На несколько месяцев,2.0,1.0,0.0,2.0,4.0,3571.43
239000331,Дизайнерский,Нет информации,5.0,8.0,250.0,850000.0,0,Срок аренды - На несколько месяцев,2.0,0.0,1.0,3.0,8.0,3400.0
272823500,Евроремонт,Нет информации,3.0,7.0,85.0,150000.0,0,Срок аренды - На несколько месяцев,1.0,0.0,0.0,1.0,1.0,1764.71
274402813,Евроремонт,На улицу и двор,3.0,5.0,105.0,195000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,3.0,3.0,1857.14
270190788,Евроремонт,Нет информации,3.0,5.0,134.0,300000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,1.0,2.0,1.0,2238.81
271265359,Евроремонт,На улицу и двор,2.0,5.0,60.0,90000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,0.0,1.0,1.0,1500.0
274289253,Дизайнерский,Нет информации,3.0,7.0,85.0,150000.0,0,Срок аренды - На несколько месяцев,2.0,0.0,0.0,2.0,1.0,1764.71
274150874,Дизайнерский,Нет информации,5.0,4.0,150.0,250000.0,0,Срок аренды - На несколько месяцев,2.0,0.0,0.0,4.0,8.0,1666.67
274849686,Евроремонт,На улицу и двор,4.0,5.0,142.0,350000.0,0,Срок аренды - На несколько месяцев,1.0,0.0,0.0,2.0,4.0,2464.79
274315381,Евроремонт,На улицу,5.0,6.0,222.0,450000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,1.0,4.0,1.0,2027.03
273779074,Дизайнерский,На улицу,2.0,7.0,60.0,120000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,1.0,1.0,2000.0
274217247,Евроремонт,На улицу и двор,3.0,8.0,103.0,120000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,3.0,1165.05
272156997,Евроремонт,Во двор,5.0,5.0,170.0,175000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,2.0,8.0,1029.41
274617827,Евроремонт,Во двор,5.0,8.0,200.0,190000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,4.0,8.0,950.0
274252871,Дизайнерский,На улицу и двор,3.0,5.0,105.0,240000.0,1,Срок аренды - Длительный,3.0,1.0,1.0,3.0,1.0,2285.71
269132104,Евроремонт,Во двор,1.0,10.0,60.0,250000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,1.0,4166.67
273911217,Дизайнерский,На улицу,5.0,6.0,155.0,250000.0,0,Срок аренды - На несколько месяцев,1.0,0.0,0.0,4.0,8.0,1612.9
269716469,Евроремонт,На улицу и двор,3.0,5.0,134.0,300000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,2.0,3.0,2238.81
274137125,Дизайнерский,На улицу и двор,5.0,9.0,214.6,500000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,1.0,4.0,8.0,2329.92
274140104,Дизайнерский,Во двор,5.0,5.0,204.0,500000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,4.0,8.0,2450.98
271258034,Евроремонт,Во двор,5.0,9.0,180.0,500000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,0.0,4.0,1.0,2777.78
166833883,Дизайнерский,На улицу,6.0,6.0,260.0,590000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,4.0,5.0,2269.23
273798495,Дизайнерский,На улицу и двор,4.0,6.0,237.1,650000.0,1,Срок аренды - Длительный,2.0,0.0,0.0,3.0,1.0,2741.46
274810876,Евроремонт,Нет информации,4.0,4.0,215.0,700000.0,0,Срок аренды - На несколько месяцев,2.0,0.0,0.0,3.0,4.0,3255.81
274199925,Евроремонт,Во двор,3.0,9.0,100.0,115000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,2.0,3.0,1150.0
274223065,Дизайнерский,На улицу,2.0,8.0,60.0,120000.0,0,Срок аренды - На несколько месяцев,2.0,0.0,0.0,1.0,1.0,2000.0
271264562,Евроремонт,На улицу и двор,5.0,5.0,170.0,175000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,2.0,8.0,1029.41
272632345,Дизайнерский,Нет информации,3.0,6.0,98.0,185000.0,0,Срок аренды - На несколько месяцев,1.0,0.0,0.0,1.0,3.0,1887.76
274018110,Евроремонт,Нет информации,2.0,5.0,175.0,200000.0,0,Срок аренды - На несколько месяцев,2.0,0.0,0.0,2.0,1.0,1142.86
274029603,Евроремонт,На улицу и двор,4.0,5.0,180.0,350000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,3.0,4.0,1944.44
274548856,Дизайнерский,Во двор,4.0,6.0,132.0,350000.0,1,Срок аренды - Длительный,4.0,1.0,1.0,2.0,4.0,2651.52
271766412,Евроремонт,Во двор,6.0,4.0,228.0,400000.0,0,Срок аренды - На несколько месяцев,1.0,0.0,0.0,2.0,1.0,1754.39
269165004,Дизайнерский,Нет информации,3.0,2.0,92.3,470000.0,0,Срок аренды - На несколько месяцев,2.0,0.0,0.0,2.0,3.0,5092.09
274105576,Евроремонт,На улицу и двор,5.0,5.0,204.0,500000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,1.0,4.0,1.0,2450.98
273785180,Евроремонт,На улицу и двор,4.0,4.0,160.0,650000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,1.0,3.0,4.0,4062.5
273785183,Евроремонт,На улицу и двор,4.0,4.0,140.0,650000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,1.0,3.0,4.0,4642.86
273785185,Евроремонт,На улицу и двор,4.0,4.0,140.0,700000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,1.0,3.0,2.0,5000.0
274528249,Дизайнерский,Нет информации,1.0,3.0,45.0,120000.0,1,Срок аренды - Длительный,1.0,0.0,0.0,1.0,1.0,2666.67
274431438,Евроремонт,На улицу и двор,3.0,3.0,65.0,130000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,1.0,1.0,3.0,2000.0
274064272,Евроремонт,На улицу и двор,3.0,5.0,87.0,140000.0,1,Срок аренды - Длительный,1.0,0.0,0.0,1.0,3.0,1609.2
273078340,Дизайнерский,На улицу и двор,3.0,6.0,90.0,145000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,1.0,1611.11
274359655,Евроремонт,Нет информации,4.0,7.0,180.0,350000.0,0,Срок аренды - На несколько месяцев,1.0,0.0,0.0,3.0,4.0,1944.44
272226556,Дизайнерский,Нет информации,4.0,10.0,180.0,400000.0,0,Срок аренды - На несколько месяцев,2.0,1.0,0.0,3.0,1.0,2222.22
273114736,Дизайнерский,Нет информации,4.0,5.0,170.0,650000.0,0,Срок аренды - На несколько месяцев,2.0,1.0,1.0,3.0,2.0,3823.53
274319903,Косметический,Во двор,3.0,3.0,75.0,99000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,3.0,1320.0
273427928,Дизайнерский,На улицу,3.0,11.0,87.0,100000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,1.0,3.0,1149.43
274296188,Косметический,На улицу и двор,3.0,8.0,105.0,180000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,2.0,1.0,1714.29
272887177,Дизайнерский,Во двор,3.0,5.0,99.0,200000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,2.0,1.0,2020.2
269319175,Дизайнерский,Во двор,1.0,7.0,60.0,250000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,1.0,1.0,4166.67
269687656,Евроремонт,Во двор,4.0,6.0,140.0,280000.0,0,Срок аренды - На несколько месяцев,1.0,0.0,0.0,2.0,4.0,2000.0
274501292,Дизайнерский,На улицу и двор,3.0,9.0,120.0,300000.0,0,Срок аренды - На несколько месяцев,1.0,1.0,1.0,2.0,3.0,2500.0
