ID,Quantity_of_rooms,Distance_min,Area_sm,Cost_per_month,Is_included_utility_charges,Elevator_total,With_children,With_pets,WashingRoom_total,Loggia_and_Balcony,Price_per_square_meter,is_Apartment_renovation_Designer,is_Apartment_renovation_Euro_remont,is_Apartment_renovation_Cosmetic,Is_No_renovation,is_Windows_No_information,is_Windows_Outside_and_Courtyard,is_Windows_Courtyard,is_Windows_Outside,Is_short_Lease_term
271271157,4.0,9.0,200.0,500000.0,1,5.0,1.0,1.0,3.0,4.0,2500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
271634126,4.0,8.0,198.0,500000.0,1,2.0,1.0,0.0,3.0,4.0,2525.25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
271173086,4.0,7.0,200.0,500000.0,0,1.0,1.0,0.0,3.0,4.0,2500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
272197456,4.0,3.0,170.0,400000.0,0,1.0,0.0,1.0,3.0,4.0,2352.94,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
273614615,2.0,7.0,58.0,225000.0,1,2.0,0.0,0.0,2.0,1.0,3879.31,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
274837728,3.0,5.0,92.0,470000.0,0,2.0,0.0,0.0,2.0,3.0,5108.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
273643908,5.0,4.0,213.0,350000.0,0,1.0,1.0,1.0,2.0,8.0,1643.19,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
274475342,3.0,3.0,98.0,250000.0,1,1.0,1.0,1.0,2.0,3.0,2551.02,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
273973191,3.0,9.0,120.0,130000.0,1,1.0,0.0,1.0,1.0,3.0,1083.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
272900409,4.0,10.0,90.0,210000.0,1,1.0,1.0,0.0,2.0,1.0,2333.33,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
271036964,4.0,5.0,170.0,290000.0,0,1.0,1.0,0.0,3.0,4.0,1705.88,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
273999490,3.0,2.0,80.0,100000.0,1,1.0,0.0,0.0,1.0,3.0,1250.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
274017037,3.0,8.0,100.0,200000.0,1,1.0,1.0,1.0,2.0,3.0,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
273231024,5.0,9.0,180.0,500000.0,1,3.0,1.0,1.0,3.0,1.0,2777.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
274839211,5.0,5.0,222.2,450000.0,0,1.0,0.0,0.0,2.0,1.0,2025.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
274767901,5.0,6.0,225.0,450000.0,1,4.0,0.0,0.0,4.0,8.0,2000.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
274995950,2.0,10.0,30.0,120000.0,1,2.0,1.0,1.0,1.0,1.0,4000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
274945807,5.0,5.0,222.0,450000.0,0,2.0,1.0,1.0,4.0,1.0,2027.03,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
272911145,5.0,12.0,150.0,180000.0,0,1.0,0.0,0.0,2.0,1.0,1200.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
274748017,5.0,6.0,201.0,190000.0,0,1.0,1.0,1.0,3.0,8.0,945.27,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
273941734,2.0,9.0,64.0,205000.0,1,2.0,1.0,1.0,2.0,1.0,3203.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
